op_name,shape,count
aten::contiguous,"[[32, 144, 144], []]",4
aten::contiguous,"[[391, 144, 4, 32], []]",4
aten::contiguous,"[[4, 144, 144], []]",4
aten::contiguous,"[[8, 144, 144], []]",4
aten::contiguous,"[[9, 144, 32, 32], []]",4
aten::contiguous,"[[1, 1024, 160], []]",2
aten::contiguous,"[[1, 1024, 25, 34], []]",2
aten::contiguous,"[[1, 128, 200, 272], []]",2
aten::contiguous,"[[1, 16384, 32], []]",2
aten::contiguous,"[[1, 17, 23, 12, 12, 1], []]",2
aten::contiguous,"[[1, 256, 100, 136], []]",2
aten::contiguous,"[[1, 256, 16, 16], []]",2
aten::contiguous,"[[1, 256, 256], []]",2
aten::contiguous,"[[1, 3, 3, 12, 12, 1], []]",2
aten::contiguous,"[[1, 4096, 64], []]",2
aten::contiguous,"[[1, 512, 50, 68], []]",2
aten::contiguous,"[[1, 54400, 128], []]",2
aten::contiguous,"[[1, 850, 256], []]",2
aten::contiguous,"[[1, 9, 12, 12, 12, 1], []]",2
aten::copy_,"[[], [], []]",800
aten::copy_,"[[0], [0], []]",350
aten::copy_,"[[0, 4], [0, 4], []]",200
aten::copy_,"[[1, 4507], [1, 4507], []]",200
aten::copy_,"[[100, 100], [100, 100], []]",200
aten::copy_,"[[13, 13], [13, 13], []]",200
aten::copy_,"[[200, 200], [200, 200], []]",200
aten::copy_,"[[25, 25], [25, 25], []]",200
aten::copy_,"[[3], [3], []]",200
aten::copy_,"[[50, 50], [50, 50], []]",200
aten::copy_,"[[1, 100, 100, 3, 1], [1, 100, 100, 3, 1], []]",100
aten::copy_,"[[1, 100, 100, 3, 4], [1, 100, 100, 3, 4], []]",100
aten::copy_,"[[1, 13, 13, 3, 1], [1, 13, 13, 3, 1], []]",100
aten::copy_,"[[1, 13, 13, 3, 4], [1, 13, 13, 3, 4], []]",100
aten::copy_,"[[1, 200, 200, 3, 1], [1, 200, 200, 3, 1], []]",100
aten::copy_,"[[1, 200, 200, 3, 4], [1, 200, 200, 3, 4], []]",100
aten::copy_,"[[1, 25, 25, 3, 1], [1, 25, 25, 3, 1], []]",100
aten::copy_,"[[1, 25, 25, 3, 4], [1, 25, 25, 3, 4], []]",100
aten::copy_,"[[1, 4507, 1], [1, 4507, 1], []]",100
aten::copy_,"[[1, 50, 50, 3, 1], [1, 50, 50, 3, 1], []]",100
aten::copy_,"[[1, 50, 50, 3, 4], [1, 50, 50, 3, 4], []]",100
aten::copy_,"[[3, 800, 800], [3, 800, 800], []]",100
aten::copy_,"[[0, 1, 28, 28], [0, 1, 28, 28], []]",50
aten::cos,"[[1, 2049, 128]]",8
aten::cos,"[[1, 25, 34, 64]]",8
aten::cos,"[[1, 100, 136, 64]]",4
aten::cos,"[[1, 200, 272, 64]]",4
aten::cos,"[[1, 50, 68, 64]]",4
aten::cumsum,"[[1, 25, 34], [], []]",8
aten::cumsum,"[[1, 100, 136], [], []]",4
aten::cumsum,"[[1, 200, 272], [], []]",4
aten::cumsum,"[[1, 50, 68], [], []]",4
aten::detach,"[[159882, 1]]",100
aten::detach,"[[159882, 4]]",100
aten::detach_,[[]],950
aten::div,"[[0, 91], []]",400
aten::div,"[[159882, 1], []]",400
aten::div,"[[], []]",200
aten::div,"[[0], []]",150
aten::div,"[[3, 224, 224], [3, 1, 1]]",100
aten::div,"[[30, 16, 144, 144], []]",36
aten::div,"[[128], [], []]",10
aten::div,"[[128], []]",10
aten::div,"[[1, 25, 34, 1], [128]]",8
aten::div,"[[1, 1, 16384, 256], []]",4
aten::div,"[[1, 100, 136, 1], [128]]",4
aten::div,"[[1, 2, 4096, 256], []]",4
aten::div,"[[1, 200, 272, 1], [128]]",4
aten::div,"[[1, 25, 34], [1, 1, 34]]",4
aten::div,"[[1, 25, 34], [1, 25, 1]]",4
aten::div,"[[1, 5, 1024, 256], []]",4
aten::div,"[[1, 50, 68, 1], [128]]",4
aten::div,"[[1, 8, 256, 256], []]",4
aten::div,"[[108, 8, 144, 144], []]",4
aten::div,"[[391, 4, 144, 144], []]",4
aten::div,"[[9, 32, 144, 144], []]",4
aten::div,"[[1, 100, 136], [1, 1, 136]]",2
aten::div,"[[1, 100, 136], [1, 100, 1]]",2
aten::div,"[[1, 200, 272], [1, 1, 272]]",2
aten::div,"[[1, 200, 272], [1, 200, 1]]",2
aten::div,"[[1, 50, 68], [1, 1, 68]]",2
aten::div,"[[1, 50, 68], [1, 50, 1]]",2
aten::dropout,"[[1, 257, 1280], [], []]",3250
aten::dropout,"[[2, 257, 1280], [], []]",3250
aten::dropout,"[[4, 257, 1280], [], []]",3250
aten::dropout,"[[8, 257, 1280], [], []]",3250
aten::dropout,"[[1, 197, 1024], [], []]",2450
aten::dropout,"[[2, 197, 1024], [], []]",2450
aten::dropout,"[[4, 197, 1024], [], []]",2450
aten::dropout,"[[8, 197, 1024], [], []]",2450
aten::dropout,"[[1, 257, 5120], [], []]",1600
aten::dropout,"[[2, 257, 5120], [], []]",1600
aten::dropout,"[[4, 257, 5120], [], []]",1600
aten::dropout,"[[8, 257, 5120], [], []]",1600
aten::dropout,"[[1, 197, 768], [], []]",1250
aten::dropout,"[[2, 197, 768], [], []]",1250
aten::dropout,"[[4, 197, 768], [], []]",1250
aten::dropout,"[[8, 197, 768], [], []]",1250
aten::dropout,"[[1, 14, 14, 1536], [], []]",1200
aten::dropout,"[[1, 14, 14, 384], [], []]",1200
aten::dropout,"[[1, 197, 4096], [], []]",1200
aten::dropout,"[[16, 12, 49, 49], [], []]",1200
aten::dropout,"[[16, 49, 384], [], []]",1200
aten::dropout,"[[2, 14, 14, 1536], [], []]",1200
aten::dropout,"[[2, 14, 14, 384], [], []]",1200
aten::dropout,"[[2, 197, 4096], [], []]",1200
aten::dropout,"[[32, 12, 49, 49], [], []]",1200
aten::dropout,"[[32, 49, 384], [], []]",1200
aten::dropout,"[[4, 12, 49, 49], [], []]",1200
aten::dropout,"[[4, 14, 14, 1536], [], []]",1200
aten::dropout,"[[4, 14, 14, 384], [], []]",1200
aten::dropout,"[[4, 197, 4096], [], []]",1200
aten::dropout,"[[4, 49, 384], [], []]",1200
aten::dropout,"[[8, 12, 49, 49], [], []]",1200
aten::dropout,"[[8, 14, 14, 1536], [], []]",1200
aten::dropout,"[[8, 14, 14, 384], [], []]",1200
aten::dropout,"[[8, 197, 4096], [], []]",1200
aten::dropout,"[[8, 49, 384], [], []]",1200
aten::dropout,"[[1, 14, 14, 2048], [], []]",900
aten::dropout,"[[1, 14, 14, 512], [], []]",900
