model,batch_size,seq_len,op_name,shape,count
detr,1,,aten::transpose,"[[1, 100, 8, 32], [], []]",48
detr,1,,aten::transpose,"[[1, 8, 100, 32], [], []]",24
detr,1,,aten::transpose,"[[1, 8, 850, 32], [], []]",12
detr,1,,aten::transpose,"[[1, 850, 8, 32], [], []]",60
detr,1,,aten::transpose,"[[2048, 256], [], []]",24
detr,1,,aten::transpose,"[[256, 2048], [], []]",24
detr,1,,aten::transpose,"[[256, 256], [], []]",148
detr,1,,aten::transpose,"[[4, 256], [], []]",2
detr,1,,aten::transpose,"[[8, 100, 32], [], []]",12
detr,1,,aten::transpose,"[[8, 850, 32], [], []]",24
detr,1,,aten::transpose,"[[92, 256], [], []]",2
detr,1,,aten::unsqueeze,"[[1, 1, 850], []]",4
detr,1,,aten::unsqueeze,"[[1, 100, 136, 64], []]",8
detr,1,,aten::unsqueeze,"[[1, 100, 136], []]",4
detr,1,,aten::unsqueeze,"[[1, 200, 272, 64], []]",8
detr,1,,aten::unsqueeze,"[[1, 200, 272], []]",4
detr,1,,aten::unsqueeze,"[[1, 25, 34, 64], []]",8
detr,1,,aten::unsqueeze,"[[1, 25, 34], []]",4
detr,1,,aten::unsqueeze,"[[1, 50, 68, 64], []]",8
detr,1,,aten::unsqueeze,"[[1, 50, 68], []]",4
detr,1,,aten::unsqueeze,"[[1, 800, 1088], []]",8
detr,1,,aten::unsqueeze,"[[1, 850], []]",4
detr,1,,aten::unsqueeze,"[[100, 256], []]",2
detr,1,,aten::upsample_nearest2d,"[[1, 1, 800, 1088], [], []]",8
detr,1,,aten::view,"[[1, 100, 136, 64, 2], []]",4
detr,1,,aten::view,"[[1, 100, 2048], []]",12
detr,1,,aten::view,"[[1, 100, 256], []]",140
detr,1,,aten::view,"[[1, 200, 272, 64, 2], []]",4
detr,1,,aten::view,"[[1, 25, 34, 64, 2], []]",4
detr,1,,aten::view,"[[1, 25, 34], []]",2
detr,1,,aten::view,"[[1, 256, 25, 34], []]",2
detr,1,,aten::view,"[[1, 50, 68, 64, 2], []]",4
detr,1,,aten::view,"[[1, 8, 100, 32], []]",48
detr,1,,aten::view,"[[1, 8, 100, 850], []]",12
detr,1,,aten::view,"[[1, 8, 850, 32], []]",60
detr,1,,aten::view,"[[1, 8, 850, 850], []]",12
detr,1,,aten::view,"[[1, 850, 2048], []]",12
detr,1,,aten::view,"[[1, 850, 256], []]",138
detr,1,,aten::view,"[[100, 2048], []]",12
detr,1,,aten::view,"[[100, 256], []]",88
detr,1,,aten::view,"[[100, 4], []]",2
detr,1,,aten::view,"[[100, 92], []]",2
detr,1,,aten::view,"[[100], []]",76
detr,1,,aten::view,"[[1024], []]",56
detr,1,,aten::view,"[[128], []]",64
detr,1,,aten::view,"[[2048], []]",32
detr,1,,aten::view,"[[256], []]",130
detr,1,,aten::view,"[[512], []]",88
detr,1,,aten::view,"[[64], []]",56
detr,1,,aten::view,"[[8, 100, 32], []]",24
detr,1,,aten::view,"[[8, 100, 850], []]",12
detr,1,,aten::view,"[[8, 850, 32], []]",12
detr,1,,aten::view,"[[8, 850, 850], []]",12
detr,1,,aten::view,"[[850, 2048], []]",12
detr,1,,aten::view,"[[850, 256], []]",78
detr,1,,aten::view,"[[850], []]",48
detr,1,,aten::zeros_like,"[[1, 100, 256], [], [], [], [], []]",2
detr,1,,cudadevicesynchronize,[],3
detr,1,,detrfrozenbatchnorm2d_prof,"[[1, 1024, 50, 68]]",98
detr,1,,detrfrozenbatchnorm2d_prof,"[[1, 128, 100, 136]]",98
detr,1,,detrfrozenbatchnorm2d_prof,"[[1, 128, 200, 272]]",14
detr,1,,detrfrozenbatchnorm2d_prof,"[[1, 2048, 25, 34]]",56
detr,1,,detrfrozenbatchnorm2d_prof,"[[1, 256, 100, 136]]",14
detr,1,,detrfrozenbatchnorm2d_prof,"[[1, 256, 200, 272]]",56
detr,1,,detrfrozenbatchnorm2d_prof,"[[1, 256, 50, 68]]",154
detr,1,,detrfrozenbatchnorm2d_prof,"[[1, 512, 100, 136]]",70
detr,1,,detrfrozenbatchnorm2d_prof,"[[1, 512, 25, 34]]",70
detr,1,,detrfrozenbatchnorm2d_prof,"[[1, 512, 50, 68]]",14
detr,1,,detrfrozenbatchnorm2d_prof,"[[1, 64, 200, 272]]",84
detr,1,,detrfrozenbatchnorm2d_prof,"[[1, 64, 400, 544]]",14
fasterrcnn,1,,aten::__and__,"[[0], [0]]",50
fasterrcnn,1,,aten::__and__,"[[4507], [4507]]",50
